iata,first_year,last_year,annual_mvts,peak_hour_mvts,annual_growth,peak_growth,absorption,peak_hour_share,state,note
LUN,2015,2018,18476,3.9,-0.0864,0.0051,-0.059,0.000421,headroom,"traffic broadly flat, nothing to read into the peak"
LUO,2015,2016,690,1.0,-0.0522,0.0037,-0.072,0.001501,not_assessed,"below the screen floor, peak too small to read a trend"
LUP,2019,2019,2262,4.0,nan,nan,nan,0.001768,too_short,"one observed year, no trend to read"
LUQ,2015,2019,950,2.1,-0.2787,0.0679,-0.243,0.002206,not_assessed,"below the screen floor, peak too small to read a trend"
LUV,2015,2019,2757,1.9,-0.275,-0.5128,1.865,0.001005,not_assessed,"below the screen floor, peak too small to read a trend"
LUW,2015,2019,7169,5.0,0.5517,0.1842,0.334,0.000807,not_assessed,"below the screen floor, peak too small to read a trend"
LUX,2015,2019,54158,18.9,0.3385,0.1407,0.416,0.00039,headroom,peak growing broadly in step with annual traffic
LUZ,2015,2019,2729,3.0,0.3966,0.0,0.0,0.001582,not_assessed,"below the screen floor, peak too small to read a trend"
LVI,2015,2018,4626,4.8,0.2577,0.0051,0.02,0.001342,not_assessed,"below the screen floor, peak too small to read a trend"
LWB,2015,2019,1330,2.3,-0.0177,0.1421,nan,0.001717,not_assessed,"below the screen floor, peak too small to read a trend"
LWE,2016,2019,730,2.0,-0.0395,0.0,-0.0,0.00274,not_assessed,"below the screen floor, peak too small to read a trend"
LWN,2018,2019,794,2.0,-0.2409,0.0067,-0.028,0.002551,not_assessed,"below the screen floor, peak too small to read a trend"
LWO,2015,2019,14914,7.2,1.9301,1.1014,0.571,0.000522,not_assessed,"below the screen floor, peak too small to read a trend"
LWS,2015,2019,1980,2.1,-0.3736,-0.321,0.859,0.001054,not_assessed,"below the screen floor, peak too small to read a trend"
LWY,2015,2019,4694,4.0,0.1449,0.0,0.0,0.000852,not_assessed,"below the screen floor, peak too small to read a trend"
LXA,2015,2019,38858,12.0,0.529,0.0916,0.173,0.000385,tightening,"growth going into the shoulder hours, not the peak"
LXG,2015,2019,2048,2.0,1.9468,-0.0041,-0.002,0.000919,not_assessed,"below the screen floor, peak too small to read a trend"
LXR,2015,2018,5701,5.7,-0.1534,0.7854,-5.12,0.001032,not_assessed,"below the screen floor, peak too small to read a trend"
LXS,2015,2019,2762,4.1,0.162,0.3675,2.269,0.001347,not_assessed,"below the screen floor, peak too small to read a trend"
LYA,2015,2019,13731,9.0,0.9828,1.2892,1.312,0.000702,not_assessed,"below the screen floor, peak too small to read a trend"
LYB,2015,2019,4082,4.0,0.0039,0.25,nan,0.00098,not_assessed,"below the screen floor, peak too small to read a trend"
LYC,2015,2017,1838,2.0,-0.1795,-0.0152,0.085,0.001304,not_assessed,"below the screen floor, peak too small to read a trend"
LYG,2015,2019,18336,8.3,1.316,0.3769,0.286,0.000454,not_assessed,"below the screen floor, peak too small to read a trend"
LYH,2015,2019,4402,2.0,0.1027,-0.1346,-1.311,0.000524,not_assessed,"below the screen floor, peak too small to read a trend"
LYI,2015,2019,21414,10.2,1.2129,0.708,0.584,0.000473,headroom,peak growing broadly in step with annual traffic
LYP,2015,2019,4152,3.1,1.0413,0.5506,0.529,0.000719,not_assessed,"below the screen floor, peak too small to read a trend"
LYR,2015,2019,1215,2.2,0.197,0.1506,0.764,0.001831,not_assessed,"below the screen floor, peak too small to read a trend"
LYS,2015,2019,108914,45.4,0.0998,0.1665,1.669,0.000327,headroom,peak growing broadly in step with annual traffic
LZC,2015,2019,1316,2.0,0.063,0.014,0.222,0.001845,not_assessed,"below the screen floor, peak too small to read a trend"
LZH,2015,2019,14015,8.0,0.3724,0.7166,1.924,0.000521,not_assessed,"below the screen floor, peak too small to read a trend"
LZN,2017,2019,4910,3.0,0.0101,0.0,nan,0.000611,not_assessed,"below the screen floor, peak too small to read a trend"
LZO,2015,2019,16635,11.0,0.8756,1.1994,1.37,0.000621,not_assessed,"below the screen floor, peak too small to read a trend"
LZR,2015,2015,645,2.0,nan,nan,nan,0.003101,too_short,"one observed year, no trend to read"
LZY,2015,2019,6813,8.0,0.7496,0.1597,0.213,0.001179,not_assessed,"below the screen floor, peak too small to read a trend"
MAA,2015,2019,165556,30.4,0.3753,0.3325,0.886,0.000181,headroom,peak growing broadly in step with annual traffic
MAB,2015,2019,2886,2.9,-0.4237,-0.2373,0.56,0.000967,not_assessed,"below the screen floor, peak too small to read a trend"
MAD,2015,2019,395038,90.4,0.161,0.1294,0.804,0.000233,headroom,peak growing broadly in step with annual traffic
MAF,2015,2019,19951,7.0,0.0327,0.0497,1.52,0.000373,not_assessed,"below the screen floor, peak too small to read a trend"
MAG,2015,2019,3430,4.2,-0.3178,0.3889,-1.224,0.001289,not_assessed,"below the screen floor, peak too small to read a trend"
MAH,2015,2019,25504,16.2,0.1314,0.067,0.51,0.000693,headroom,peak growing broadly in step with annual traffic
MAJ,2015,2019,1664,2.0,1.0024,1.0,0.998,0.001053,not_assessed,"below the screen floor, peak too small to read a trend"
MAM,2015,2019,742,2.1,-0.6664,-0.1326,0.199,0.003031,not_assessed,"below the screen floor, peak too small to read a trend"
MAN,2015,2019,182502,45.5,0.2156,0.0384,0.178,0.00027,tightening,"growth going into the shoulder hours, not the peak"
MAO,2015,2019,22794,8.0,-0.1977,-0.2203,1.114,0.00038,headroom,"traffic broadly flat, nothing to read into the peak"
MAQ,2015,2019,3295,2.1,0.4301,0.0605,0.141,0.000655,not_assessed,"below the screen floor, peak too small to read a trend"
MAR,2015,2019,4050,3.0,-0.6898,-0.546,0.792,0.000688,not_assessed,"below the screen floor, peak too small to read a trend"
MAS,2015,2019,862,2.0,-0.172,0.1111,-0.646,0.003348,not_assessed,"below the screen floor, peak too small to read a trend"
MAZ,2015,2019,2920,2.0,-0.0,0.0,nan,0.000685,not_assessed,"below the screen floor, peak too small to read a trend"
MBA,2015,2018,31358,31.7,1.1886,4.7143,3.966,0.000384,headroom,peak growing broadly in step with annual traffic
MBE,2015,2019,730,2.0,0.0,0.8554,nan,0.00281,not_assessed,"below the screen floor, peak too small to read a trend"
MBI,2015,2018,1290,2.0,-0.2229,0.435,-1.951,0.001637,not_assessed,"below the screen floor, peak too small to read a trend"
MBJ,2015,2019,30274,21.6,0.1736,0.0821,0.473,0.000692,headroom,peak growing broadly in step with annual traffic
MBL,2015,2019,806,1.0,0.0025,-0.5,nan,0.001373,not_assessed,"below the screen floor, peak too small to read a trend"
MBS,2015,2019,5957,3.0,-0.0644,-0.1207,1.874,0.000521,not_assessed,"below the screen floor, peak too small to read a trend"
MBT,2015,2019,730,2.0,0.0041,0.0,nan,0.00274,not_assessed,"below the screen floor, peak too small to read a trend"
MCE,2016,2019,3040,2.0,-0.0977,-0.4397,4.503,0.000667,not_assessed,"below the screen floor, peak too small to read a trend"
MCI,2015,2019,113024,28.9,0.0306,-0.0219,-0.714,0.000259,tightening,"growth going into the shoulder hours, not the peak"
MCK,2016,2019,1338,2.0,0.1706,0.0458,0.269,0.001495,not_assessed,"below the screen floor, peak too small to read a trend"
MCM,2015,2019,30830,11.1,-0.0387,-0.0187,0.483,0.000361,headroom,"traffic broadly flat, nothing to read into the peak"
MCN,2018,2019,1280,2.0,0.0207,1.0,48.231,0.001563,not_assessed,"below the screen floor, peak too small to read a trend"
MCO,2015,2019,336179,78.3,0.1755,0.1349,0.768,0.000241,headroom,peak growing broadly in step with annual traffic
MCP,2015,2019,4388,3.2,-0.2234,-0.1795,0.803,0.000752,not_assessed,"below the screen floor, peak too small to read a trend"
MCT,2015,2019,113990,26.6,0.2692,0.1111,0.413,0.000251,headroom,peak growing broadly in step with annual traffic
MCW,2015,2019,3548,4.0,0.2298,1.0,4.351,0.001467,not_assessed,"below the screen floor, peak too small to read a trend"
MCX,2015,2019,10454,4.5,2.1891,0.5085,0.232,0.000365,not_assessed,"below the screen floor, peak too small to read a trend"
MCY,2015,2019,9176,5.8,0.5147,0.1484,0.288,0.000662,not_assessed,"below the screen floor, peak too small to read a trend"
MCZ,2015,2019,13467,6.9,-0.0297,0.0156,-0.526,0.000529,not_assessed,"below the screen floor, peak too small to read a trend"
MDC,2015,2019,25299,8.1,0.1926,0.1689,0.877,0.000362,headroom,peak growing broadly in step with annual traffic
MDE,2015,2019,71883,19.4,0.1753,0.1785,1.018,0.000277,headroom,peak growing broadly in step with annual traffic
MDG,2015,2019,8120,5.2,0.4721,0.2862,0.606,0.000631,not_assessed,"below the screen floor, peak too small to read a trend"
MDL,2015,2019,28381,14.4,0.2161,-0.0656,-0.303,0.000375,tightening,"growth going into the shoulder hours, not the peak"
MDQ,2015,2019,5443,4.0,0.4522,0.6637,1.468,0.0007,not_assessed,"below the screen floor, peak too small to read a trend"
MDT,2015,2019,22985,7.5,0.0314,-0.048,-1.528,0.000442,tightening,"growth going into the shoulder hours, not the peak"
MDW,2015,2019,178215,42.8,-0.0668,-0.1453,2.177,0.000246,headroom,"traffic broadly flat, nothing to read into the peak"
MDZ,2015,2019,19656,8.2,0.4033,0.2191,0.543,0.000431,not_assessed,"below the screen floor, peak too small to read a trend"
MEB,2015,2019,3918,3.0,0.6123,0.5134,0.838,0.000909,not_assessed,"below the screen floor, peak too small to read a trend"
MEC,2015,2019,2532,3.4,-0.1843,0.2289,-1.242,0.001272,not_assessed,"below the screen floor, peak too small to read a trend"
MED,2015,2019,44541,11.1,0.1545,0.4605,2.98,0.000283,headroom,peak growing broadly in step with annual traffic
MEE,2015,2019,2619,2.0,0.1792,0.0,0.0,0.000926,not_assessed,"below the screen floor, peak too small to read a trend"
MEH,2015,2016,2466,2.0,0.0065,-0.0927,nan,0.000818,not_assessed,"below the screen floor, peak too small to read a trend"
MEI,2015,2019,1951,2.3,0.0512,-0.0028,-0.055,0.001179,not_assessed,"below the screen floor, peak too small to read a trend"
MEL,2015,2019,237703,52.1,0.0592,-0.0874,-1.478,0.000233,tightening,"growth going into the shoulder hours, not the peak"
MEM,2015,2019,58843,16.9,0.042,-0.0993,-2.366,0.000289,tightening,"growth going into the shoulder hours, not the peak"
MEQ,2015,2019,730,1.0,-0.2031,-0.3673,1.809,0.00137,not_assessed,"below the screen floor, peak too small to read a trend"
MEX,2015,2019,418097,84.8,0.1068,0.069,0.646,0.000201,headroom,peak growing broadly in step with annual traffic
MFA,2015,2018,2604,3.0,0.1086,-0.3832,-3.53,0.001152,not_assessed,"below the screen floor, peak too small to read a trend"
MFE,2015,2019,11717,5.4,0.1322,0.589,4.456,0.000499,not_assessed,"below the screen floor, peak too small to read a trend"
MFK,2017,2019,2196,2.0,-0.0144,-0.3036,nan,0.000911,not_assessed,"below the screen floor, peak too small to read a trend"
MFM,2015,2019,72436,19.7,0.4124,0.2925,0.709,0.000265,headroom,peak growing broadly in step with annual traffic
MFR,2015,2019,18040,5.3,0.4817,0.736,1.528,0.000401,not_assessed,"below the screen floor, peak too small to read a trend"
MFU,2015,2018,3089,3.2,0.1604,0.6023,3.755,0.001881,not_assessed,"below the screen floor, peak too small to read a trend"
MGA,2015,2019,14943,4.4,-0.0418,-0.4195,10.035,0.000504,not_assessed,"below the screen floor, peak too small to read a trend"
MGB,2015,2019,3620,3.0,-0.092,-0.0069,0.075,0.000829,not_assessed,"below the screen floor, peak too small to read a trend"
MGF,2015,2019,8193,3.7,-0.245,-0.1308,0.534,0.000556,not_assessed,"below the screen floor, peak too small to read a trend"
MGH,2015,2018,908,1.1,-0.1107,-0.1203,1.087,0.001859,not_assessed,"below the screen floor, peak too small to read a trend"
MGM,2015,2019,9388,4.9,0.0993,0.2222,2.238,0.000513,not_assessed,"below the screen floor, peak too small to read a trend"
MGQ,2015,2018,4343,4.8,0.5926,1.0365,1.749,0.001241,not_assessed,"below the screen floor, peak too small to read a trend"
MGW,2015,2019,3964,2.1,0.5831,-0.1051,-0.18,0.000521,not_assessed,"below the screen floor, peak too small to read a trend"
MGZ,2015,2019,1840,4.4,-0.49,-0.1326,0.271,0.002153,not_assessed,"below the screen floor, peak too small to read a trend"
MHD,2015,2019,38940,10.9,0.162,0.1381,0.852,0.000325,headroom,peak growing broadly in step with annual traffic
MHG,2019,2019,2158,2.9,nan,nan,nan,0.00133,too_short,"one observed year, no trend to read"
MHH,2015,2019,8716,6.0,0.0441,0.035,0.795,0.000809,not_assessed,"below the screen floor, peak too small to read a trend"
MHK,2015,2019,3966,2.7,0.1109,0.1588,1.432,0.000795,not_assessed,"below the screen floor, peak too small to read a trend"
MHQ,2015,2019,2763,2.3,0.0415,-0.2556,-6.165,0.001194,not_assessed,"below the screen floor, peak too small to read a trend"
MHT,2015,2019,22173,7.2,-0.1507,-0.2667,1.77,0.000421,headroom,"traffic broadly flat, nothing to read into the peak"
MIA,2015,2019,323559,76.3,0.009,-0.043,nan,0.000247,headroom,"traffic broadly flat, nothing to read into the peak"
MID,2015,2019,23403,12.2,0.3704,0.3312,0.894,0.000544,headroom,peak growing broadly in step with annual traffic
MIG,2015,2019,31688,14.9,1.3247,1.0838,0.818,0.00048,headroom,peak growing broadly in step with annual traffic
MII,2015,2019,1418,2.0,-0.2011,0.0,-0.0,0.001414,not_assessed,"below the screen floor, peak too small to read a trend"
MIM,2015,2019,2906,2.0,-0.0212,-0.0115,0.541,0.000699,not_assessed,"below the screen floor, peak too small to read a trend"
MIR,2015,2018,6731,5.3,1.1911,1.1698,0.982,0.000766,not_assessed,"below the screen floor, peak too small to read a trend"
MIU,2018,2018,929,2.5,nan,nan,nan,0.002836,too_short,"one observed year, no trend to read"
MJF,2015,2019,3114,2.3,-0.4309,-0.3089,0.717,0.000749,not_assessed,"below the screen floor, peak too small to read a trend"
MJI,2015,2018,7025,3.8,12.0334,4.5284,0.376,0.000723,not_assessed,"below the screen floor, peak too small to read a trend"
MJK,2019,2019,644,1.0,nan,nan,nan,0.001621,too_short,"one observed year, no trend to read"
MJM,2017,2017,1199,2.2,nan,nan,nan,0.001835,too_short,"one observed year, no trend to read"
MJN,2015,2017,1241,1.3,-0.0476,0.7913,-16.63,0.001786,not_assessed,"below the screen floor, peak too small to read a trend"
MJT,2015,2019,5883,3.7,0.2203,0.4724,2.144,0.000792,not_assessed,"below the screen floor, peak too small to read a trend"
MJU,2015,2019,3818,4.0,0.7307,-0.0139,-0.019,0.001278,not_assessed,"below the screen floor, peak too small to read a trend"
MJV,2015,2018,7575,8.1,0.1186,-0.1009,-0.851,0.001048,not_assessed,"below the screen floor, peak too small to read a trend"
MJZ,2015,2017,2771,3.0,-0.2201,0.0,-0.0,0.001369,not_assessed,"below the screen floor, peak too small to read a trend"
MKE,2015,2019,71736,20.3,-0.0796,0.0072,-0.09,0.000301,headroom,"traffic broadly flat, nothing to read into the peak"
MKG,2015,2019,1454,2.0,-0.0027,-0.0722,nan,0.001376,not_assessed,"below the screen floor, peak too small to read a trend"
MKK,2015,2019,18975,7.3,-0.0744,-0.0372,0.499,0.000612,headroom,"traffic broadly flat, nothing to read into the peak"
MKL,2015,2019,2086,2.9,0.042,-0.1854,-4.419,0.001382,not_assessed,"below the screen floor, peak too small to read a trend"
MKM,2015,2019,4176,3.0,0.3157,0.0,0.0,0.000718,not_assessed,"below the screen floor, peak too small to read a trend"
MKQ,2015,2019,4116,3.9,0.1405,-0.1559,-1.11,0.001108,not_assessed,"below the screen floor, peak too small to read a trend"
MKW,2015,2019,7558,7.2,0.4639,0.6269,1.351,0.001046,not_assessed,"below the screen floor, peak too small to read a trend"
MKY,2015,2019,10049,3.9,-0.149,-0.4243,2.847,0.000592,not_assessed,"below the screen floor, peak too small to read a trend"
MKZ,2017,2019,2524,5.0,0.3929,0.6667,1.697,0.002601,not_assessed,"below the screen floor, peak too small to read a trend"
MLA,2015,2019,48781,15.9,0.5112,0.1578,0.309,0.000337,tightening,"growth going into the shoulder hours, not the peak"
MLB,2015,2019,5471,4.8,0.1156,0.8663,7.493,0.000712,not_assessed,"below the screen floor, peak too small to read a trend"
MLE,2015,2019,54419,13.3,0.2559,0.1683,0.658,0.00032,headroom,peak growing broadly in step with annual traffic
MLG,2015,2019,8799,6.0,0.2377,0.2048,0.862,0.000642,not_assessed,"below the screen floor, peak too small to read a trend"
MLH,2015,2019,5497,3.5,-0.0403,0.1667,-4.133,0.00089,not_assessed,"below the screen floor, peak too small to read a trend"
MLI,2015,2019,13534,3.2,-0.0629,-0.4737,7.534,0.000472,not_assessed,"below the screen floor, peak too small to read a trend"
MLL,2015,2019,1022,1.0,-0.6721,-0.6519,0.97,0.001172,not_assessed,"below the screen floor, peak too small to read a trend"
MLM,2015,2019,8038,5.0,0.1463,0.5396,3.688,0.000747,not_assessed,"below the screen floor, peak too small to read a trend"
MLN,2015,2019,8533,6.0,0.1083,0.1424,1.314,0.000529,not_assessed,"below the screen floor, peak too small to read a trend"
MLO,2015,2019,2291,3.0,0.3621,0.4964,1.371,0.001313,not_assessed,"below the screen floor, peak too small to read a trend"
MLU,2015,2019,5877,4.0,-0.0931,-0.1683,1.808,0.000608,not_assessed,"below the screen floor, peak too small to read a trend"
MLX,2015,2019,4563,3.0,-0.0365,-0.248,6.79,0.000688,not_assessed,"below the screen floor, peak too small to read a trend"
MMB,2015,2019,8935,4.0,-0.0956,0.0131,-0.138,0.000644,not_assessed,"below the screen floor, peak too small to read a trend"
MMD,2015,2019,1383,2.0,-0.2929,-0.3333,1.138,0.00188,not_assessed,"below the screen floor, peak too small to read a trend"
MME,2015,2019,3348,3.0,-0.1709,0.0007,-0.004,0.000957,not_assessed,"below the screen floor, peak too small to read a trend"
MMH,2015,2019,1136,1.8,-0.1684,-0.2394,1.422,0.00159,not_assessed,"below the screen floor, peak too small to read a trend"
MMJ,2015,2019,2384,2.0,0.1473,-0.0074,-0.05,0.000859,not_assessed,"below the screen floor, peak too small to read a trend"
MMK,2015,2019,8399,3.9,-0.074,-0.0029,0.039,0.00056,not_assessed,"below the screen floor, peak too small to read a trend"
MMX,2015,2019,16966,8.9,-0.0889,0.0999,-1.123,0.000623,not_assessed,"below the screen floor, peak too small to read a trend"
MMY,2015,2019,16436,6.9,0.1169,0.3588,3.07,0.000448,not_assessed,"below the screen floor, peak too small to read a trend"
MNA,2017,2019,730,2.0,0.0458,0.0,0.0,0.00274,not_assessed,"below the screen floor, peak too small to read a trend"
MNG,2015,2019,1759,2.0,-0.2838,0.0,-0.0,0.001137,not_assessed,"below the screen floor, peak too small to read a trend"
MNI,2015,2019,2202,2.0,-0.0447,0.0,-0.0,0.0009,not_assessed,"below the screen floor, peak too small to read a trend"
MNL,2015,2019,276096,41.7,0.0713,-0.1406,-1.972,0.000162,tightening,"growth going into the shoulder hours, not the peak"
MOB,2015,2019,13651,6.6,0.0223,0.0095,0.427,0.000479,not_assessed,"below the screen floor, peak too small to read a trend"
MOC,2015,2019,3338,2.9,-0.1621,0.4503,-2.777,0.001253,not_assessed,"below the screen floor, peak too small to read a trend"
MOF,2015,2019,5324,4.0,2.2228,1.7692,0.796,0.000676,not_assessed,"below the screen floor, peak too small to read a trend"
MOH,2019,2019,1678,2.0,nan,nan,nan,0.0012,too_short,"one observed year, no trend to read"
MOL,2015,2019,5651,4.4,-0.1948,-0.2643,1.357,0.001012,not_assessed,"below the screen floor, peak too small to read a trend"
MOQ,2015,2015,714,0.9,nan,nan,nan,0.001574,too_short,"one observed year, no trend to read"
MOT,2015,2019,5806,3.2,-0.2055,-0.2604,1.267,0.000822,not_assessed,"below the screen floor, peak too small to read a trend"
MOU,2015,2019,1332,1.1,-0.006,0.0373,nan,0.000795,not_assessed,"below the screen floor, peak too small to read a trend"
MOV,2015,2019,2407,2.1,-0.4657,-0.56,1.203,0.000867,not_assessed,"below the screen floor, peak too small to read a trend"
MOZ,2015,2019,2458,3.0,-0.0368,-0.2,5.43,0.001216,not_assessed,"below the screen floor, peak too small to read a trend"
MPH,2015,2019,15818,7.0,0.0015,-0.1315,nan,0.000528,not_assessed,"below the screen floor, peak too small to read a trend"
MPL,2015,2019,17089,6.9,0.1523,0.1501,0.985,0.000475,not_assessed,"below the screen floor, peak too small to read a trend"
MPM,2015,2018,15586,6.8,-0.0022,0.2068,nan,0.000519,not_assessed,"below the screen floor, peak too small to read a trend"
MQF,2015,2019,2599,2.4,0.735,1.3619,1.853,0.001136,not_assessed,"below the screen floor, peak too small to read a trend"
MQL,2015,2019,6030,4.0,-0.1608,0.0843,-0.525,0.000906,not_assessed,"below the screen floor, peak too small to read a trend"
MQM,2015,2019,3420,3.5,-0.1213,-0.0162,0.133,0.001075,not_assessed,"below the screen floor, peak too small to read a trend"
MQN,2015,2019,4454,3.1,-0.2923,-0.2353,0.805,0.000687,not_assessed,"below the screen floor, peak too small to read a trend"
MQP,2015,2018,10586,6.1,0.3204,0.7921,2.472,0.000562,not_assessed,"below the screen floor, peak too small to read a trend"
MQT,2015,2019,2824,2.0,0.4497,-0.0937,-0.208,0.000853,not_assessed,"below the screen floor, peak too small to read a trend"
MQX,2015,2018,6658,3.0,0.3577,-0.0198,-0.055,0.000689,not_assessed,"below the screen floor, peak too small to read a trend"
MRA,2015,2018,1105,2.0,0.213,0.6971,3.273,0.001898,not_assessed,"below the screen floor, peak too small to read a trend"
MRE,2015,2018,18047,12.0,1.9373,0.6412,0.331,0.000917,not_assessed,"below the screen floor, peak too small to read a trend"
MRS,2015,2019,87336,27.3,0.1157,0.0939,0.811,0.000341,headroom,peak growing broadly in step with annual traffic
MRU,2015,2018,22011,9.2,0.1458,1.0254,7.033,0.000467,headroom,peak growing broadly in step with annual traffic
MRV,2015,2019,20404,8.5,0.2969,0.2917,0.982,0.000487,headroom,peak growing broadly in step with annual traffic
MRX,2015,2017,1276,1.0,0.7796,-0.0064,-0.008,0.001071,not_assessed,"below the screen floor, peak too small to read a trend"
MRY,2015,2019,9690,4.1,0.1678,0.3953,2.356,0.000586,not_assessed,"below the screen floor, peak too small to read a trend"
MRZ,2015,2019,1288,2.1,-0.0747,0.033,-0.442,0.001831,not_assessed,"below the screen floor, peak too small to read a trend"
MSA,2015,2019,1204,2.0,0.4901,0.0,0.0,0.001661,not_assessed,"below the screen floor, peak too small to read a trend"
MSJ,2015,2019,3710,3.0,0.0433,0.5,11.545,0.000725,not_assessed,"below the screen floor, peak too small to read a trend"
MSL,2016,2019,2672,2.0,0.2688,0.0,0.0,0.000749,not_assessed,"below the screen floor, peak too small to read a trend"
MSN,2015,2019,32698,9.8,0.2811,0.1372,0.488,0.000409,headroom,peak growing broadly in step with annual traffic
MSO,2015,2019,11772,7.0,0.2006,0.3284,1.637,0.000502,not_assessed,"below the screen floor, peak too small to read a trend"
MSP,2015,2019,370734,86.7,0.0118,-0.2283,nan,0.000254,headroom,"traffic broadly flat, nothing to read into the peak"
MSQ,2015,2019,47706,14.7,0.5177,0.5254,1.015,0.000316,headroom,peak growing broadly in step with annual traffic
MSR,2015,2019,2344,2.8,0.0616,0.1768,2.87,0.001165,not_assessed,"below the screen floor, peak too small to read a trend"
MSS,2015,2019,2190,2.0,0.0,1.0,nan,0.000913,not_assessed,"below the screen floor, peak too small to read a trend"
MSU,2015,2018,2136,2.7,-0.0887,0.4799,-5.408,0.001697,not_assessed,"below the screen floor, peak too small to read a trend"
MSY,2015,2019,119123,32.9,0.1603,0.233,1.454,0.000278,headroom,peak growing broadly in step with annual traffic
MTJ,2015,2019,5932,3.9,0.5293,-0.1087,-0.205,0.001196,not_assessed,"below the screen floor, peak too small to read a trend"
MTR,2015,2019,11875,8.7,0.9995,0.8947,0.895,0.000694,not_assessed,"below the screen floor, peak too small to read a trend"
MTT,2015,2019,2134,2.6,-0.4419,-0.1598,0.362,0.001113,not_assessed,"below the screen floor, peak too small to read a trend"
MTY,2015,2019,99381,26.9,-0.0017,-0.1022,nan,0.000272,headroom,"traffic broadly flat, nothing to read into the peak"
MUA,2015,2019,1872,1.0,0.0552,-0.5229,-9.466,0.002508,not_assessed,"below the screen floor, peak too small to read a trend"
MUB,2015,2018,3317,5.9,0.2253,0.9984,4.431,0.00193,not_assessed,"below the screen floor, peak too small to read a trend"
MUC,2015,2019,394544,94.3,0.1091,0.0371,0.34,0.000235,tightening,"growth going into the shoulder hours, not the peak"
MUE,2015,2019,1533,1.6,-0.1944,-0.1816,0.934,0.001068,not_assessed,"below the screen floor, peak too small to read a trend"
MUN,2015,2016,2648,3.0,-0.2062,0.0,-0.0,0.001164,not_assessed,"below the screen floor, peak too small to read a trend"
MUR,2015,2019,4088,4.0,-0.0952,-0.2,2.101,0.000978,not_assessed,"below the screen floor, peak too small to read a trend"
MUX,2015,2019,7877,3.3,0.2951,0.581,1.968,0.000565,not_assessed,"below the screen floor, peak too small to read a trend"
MUZ,2017,2018,13685,23.0,4.3793,6.8517,1.565,0.001664,not_assessed,"below the screen floor, peak too small to read a trend"
MVB,2015,2017,962,2.0,0.1661,-0.0032,-0.019,0.002123,not_assessed,"below the screen floor, peak too small to read a trend"
MVD,2015,2019,17056,4.6,0.0044,-0.2393,nan,0.000384,not_assessed,"below the screen floor, peak too small to read a trend"
MVR,2016,2016,661,2.3,nan,nan,nan,0.004367,too_short,"one observed year, no trend to read"
MVY,2015,2019,8842,7.0,-0.0858,-0.1619,1.886,0.001446,not_assessed,"below the screen floor, peak too small to read a trend"
MWA,2015,2019,3756,2.0,-0.0,-0.01,nan,0.000532,not_assessed,"below the screen floor, peak too small to read a trend"
MWX,2015,2019,6356,4.1,4.2356,1.1298,0.267,0.000657,not_assessed,"below the screen floor, peak too small to read a trend"
MWZ,2015,2018,12109,7.0,0.3091,0.3795,1.228,0.000538,not_assessed,"below the screen floor, peak too small to read a trend"
MXL,2015,2019,8524,4.2,0.4646,0.4552,0.98,0.00061,not_assessed,"below the screen floor, peak too small to read a trend"
MXP,2015,2019,208230,64.2,0.4851,0.5506,1.135,0.000285,headroom,peak growing broadly in step with annual traffic
MXZ,2015,2019,7394,5.5,0.786,0.7586,0.965,0.000866,not_assessed,"below the screen floor, peak too small to read a trend"
MYA,2015,2019,2336,2.0,-0.0652,0.0,-0.0,0.000856,not_assessed,"below the screen floor, peak too small to read a trend"
MYD,2015,2018,14480,16.0,2.2106,4.2284,1.913,0.000913,not_assessed,"below the screen floor, peak too small to read a trend"
MYJ,2015,2019,28090,10.2,-0.0016,0.2608,nan,0.000381,headroom,"traffic broadly flat, nothing to read into the peak"
MYP,2016,2019,2300,1.8,-0.163,-0.0779,0.478,0.000853,not_assessed,"below the screen floor, peak too small to read a trend"
MYQ,2018,2019,872,2.0,0.2282,0.005,0.022,0.002834,not_assessed,"below the screen floor, peak too small to read a trend"
MYR,2015,2019,24427,12.5,0.2403,0.1688,0.703,0.000512,headroom,peak growing broadly in step with annual traffic
MYT,2015,2019,4159,5.4,-0.1886,0.0565,-0.3,0.001362,not_assessed,"below the screen floor, peak too small to read a trend"
MYU,2015,2019,359,1.0,-0.5194,-0.0544,0.105,0.002786,not_assessed,"below the screen floor, peak too small to read a trend"
MYW,2015,2018,737,2.0,-0.3668,-0.2939,0.801,0.003184,not_assessed,"below the screen floor, peak too small to read a trend"
MYY,2015,2019,34867,9.8,-0.0168,-0.0189,nan,0.000416,headroom,"traffic broadly flat, nothing to read into the peak"
MZG,2015,2019,39878,17.5,1.4072,1.5913,1.131,0.000516,headroom,peak growing broadly in step with annual traffic
MZH,2015,2019,1096,2.0,-0.0045,-0.0526,nan,0.001947,not_assessed,"below the screen floor, peak too small to read a trend"
MZL,2015,2019,6438,4.0,0.352,0.8367,2.377,0.000619,not_assessed,"below the screen floor, peak too small to read a trend"
MZO,2015,2018,536,1.5,-0.0743,0.5,-6.733,0.0032,not_assessed,"below the screen floor, peak too small to read a trend"
MZR,2015,2019,2388,2.2,1.0084,0.2097,0.208,0.001198,not_assessed,"below the screen floor, peak too small to read a trend"
MZT,2015,2019,10022,8.2,0.2397,0.3959,1.651,0.000883,not_assessed,"below the screen floor, peak too small to read a trend"
